Road,Suburb,Effective_Date,Latitude,Longitude,Formatted_Address
Sharps Road,TULLAMARINE,1 October 2024,-37.7076404,144.8749767,"Sharps Road, Tullamarine VIC 3045, Australia"
Mornington-Tyabb Road,TYABB,1 October 2024,-38.2611822,145.1885147,"Mornington - Tyabb Road, Tyabb VIC 3913, Australia"
Frankston-Flinders Road,TYABB,1 October 2024,-38.2731435,145.1897172,"Frankston-Flinders Road, Tyabb VIC 3915, Australia"
Wangaratta-Yarrawonga Road,WALDARA,1 October 2024,-36.3361129,146.2959943,"Wangaratta - Yarrawonga Road, Rural City of Wangaratta VIC 3678, Australia"
Watson Street,WALLAN,1 October 2024,-37.4154916,144.9713553,"Watson Street, Wallan VIC 3756, Australia"
Watson Street,WALLAN,1 October 2024,-37.4154916,144.9713553,"Watson Street, Wallan VIC 3756, Australia"
Northern Highway,WALLAN,1 October 2024,-37.4343309,144.9776974,"Northern Highway, Beveridge VIC 3756, Australia"
Rowan Street,WANGARATTA,1 October 2024,-36.3510567,146.3140555,"Rowan Street, Wangaratta VIC 3677, Australia"
Wangaratta-Whitfield Road,WANGARATTA,1 October 2024,-36.3885302,146.3322505,"Wangaratta - Whitfield Road, Wangaratta VIC 3677, Australia"
Tone Road,WANGARATTA,1 October 2024,-36.3683584,146.2943216,"Tone Road, Wangaratta VIC 3677, Australia"
Wangaratta-Whitfield Road,WANGARATTA,1 October 2024,-36.3885302,146.3322505,"Wangaratta - Whitfield Road, Wangaratta VIC 3677, Australia"
Burwood Highway,WANTIRNA,1 October 2024,-37.863607,145.219854,"Burwood Highway Trail, Wantirna VIC 3152, Australia"
Burwood Highway,WANTIRNA SOUTH,1 October 2024,-37.870255,145.23843,"Burwood Highway, Wantirna South VIC 3152, Australia"
Tarneit Road,WERRIBEE,1 October 2024,-37.895565,144.664473,"Tarneit Road, Werribee VIC 3030, Australia"
Princes Highway,WERRIBEE,1 October 2024,-37.899617,144.667758,"Princes Highway, Werribee VIC 3030, Australia"
Princes Highway,WERRIBEE,1 October 2024,-37.899617,144.667758,"Princes Highway, Werribee VIC 3030, Australia"
Princes Highway,WERRIBEE,1 October 2024,-37.899617,144.667758,"Princes Highway, Werribee VIC 3030, Australia"
Wellington Road,WHEELERS HILL,1 October 2024,-37.921124,145.180304,"Wellington Road, Wheelers Hill VIC 3170, Australia"
Ferntree Gully Road,WHEELERS HILL,1 October 2024,-37.905853,145.182612,"Ferntree Gully Road, Wheelers Hill VIC 3150, Australia"
Beechworth Road,WODONGA,1 October 2024,-36.1554215,146.8808162,"Beechworth Road, Wodonga VIC 3690, Australia"
Bandiana Link,WODONGA,1 October 2024,-36.1103367,146.8937505,"Bandiana Link Road, Wodonga VIC 3690, Australia"
Bandiana Link,WODONGA,1 October 2024,-36.1103367,146.8937505,"Bandiana Link Road, Wodonga VIC 3690, Australia"
Beechworth Road,WODONGA,1 October 2024,-36.1554215,146.8808162,"Beechworth Road, Wodonga VIC 3690, Australia"
Hume Freeway,WODONGA,1 October 2024,-36.1106065,146.8934013,"Hume Freeway, Wodonga VIC 3690, Australia"
Craigieburn Road,WOLLERT,1 October 2024,-37.605789,145.005593,"Craigieburn Road, Wollert VIC 3750, Australia"
Goulburn Valley Highway,WUNGHNU,1 October 2024,-36.146084,145.431776,"Goulburn Valley Highway, Wunghnu VIC 3635, Australia"
Goulburn Valley Highway,WUNGHNU,1 October 2024,-36.146084,145.431776,"Goulburn Valley Highway, Wunghnu VIC 3635, Australia"
Goulburn Valley Highway,WUNGHNU,1 October 2024,-36.146084,145.431776,"Goulburn Valley Highway, Wunghnu VIC 3635, Australia"
Goulburn Valley Highway,WUNGHNU,1 October 2024,-36.146084,145.431776,"Goulburn Valley Highway, Wunghnu VIC 3635, Australia"
Goulburn Valley Highway,YARRAWONGA,1 October 2024,-36.0141692,146.0063494,"Yarrawonga VIC 3730, Australia"
Goulburn Valley Highway,YARRAWONGA,1 October 2024,-36.0141692,146.0063494,"Yarrawonga VIC 3730, Australia"
Goulburn Valley Highway,YARRAWONGA,1 October 2024,-36.0141692,146.0063494,"Yarrawonga VIC 3730, Australia"
Goulburn Valley Highway,YARRAWONGA,1 October 2024,-36.0141692,146.0063494,"Yarrawonga VIC 3730, Australia"
Goulburn Valley Highway,YIELIMA,1 October 2024,-35.9256714,145.4318605,"Goulburn Valley Highway, Shire of Moira VIC 3641, Australia"
