Road,Suburb,Latitude,Longitude,Formatted_Address
Clyde-Five Ways Road,CLYDE,-38.1228265,145.3263477,"Clyde - Five Ways Road, Clyde VIC 3978, Australia"
Cobb And Co Road,CARLSRUHE,-37.2992662,144.5129539,"Cobb and Co Road, Carlsruhe VIC 3442, Australia"
Cobden-Warrnambool Road,GLENFYNE,-38.4019915,142.9871925979974,"Glenfyne public hall, Cobden - Warrnambool Road, Ecklin South VIC 3265, Australia"
Coburns Road,MELTON,-37.6837338,144.5684152,"Coburns Road, Melbourne VIC 3337, Australia"
Coburns Road,KURUNJANG,-37.672434,144.5705245,"Coburns Road, Kurunjang VIC 3337, Australia"
Coburns Road,MELTON SOUTH,-37.6991402,144.5654489,"Coburns Road, Melton South VIC 3338, Australia"
Coburns Road,TOOLERN VALE,-37.6049051,144.5663437,"Coburns Road, Melbourne VIC 3337, Australia"
Cohuna Island Road,COHUNA,-35.8370657,144.2858237,"Cohuna Island Road, Cohuna VIC 3568, Australia"
Cohuna-Koondrook Road,GANNAWARRA,-35.6692148,144.1148386,"Cohuna - Koondrook Road, Koondrook VIC 3580, Australia"
Cohuna-Koondrook Road,KOONDROOK,-35.6692148,144.1148386,"Cohuna - Koondrook Road, Koondrook VIC 3580, Australia"
Cohuna-Leitchville Road,LEITCHVILLE,-35.8598922,144.2259905,"Cohuna-Leitchville Road, Cohuna VIC 3568, Australia"
Colac Forrest Road,YEODENE,-38.41667,143.7,"Barwon Downs (Yeodene), VIC, Australia"
Colac Road,HIGHTON,-38.1989536,144.3149068,"Colac Road, Highton VIC 3216, Australia"
Colac-Ballarat  Road,WEERING,-38.1,143.63333,"Cressy (Weering), VIC, Australia"
Colac-Ballarat Road,CAMBRIAN HILL,-37.6473234,143.8266279,"Colac - Ballarat Road, Golden Plains Shire VIC 3352, Australia"
Colac-Ballarat Road,CORINDHAP,-37.8885589,143.7228871,"Colac - Ballarat Road, Rokewood VIC 3330, Australia"
Colac-Ballarat Road,NAPOLEONS,-37.7415073,143.7911856,"Colac - Ballarat Road, Enfield VIC 3352, Australia"
Colac-Lavers Hill Road,BARONGAROOK,-38.4475504,143.5768249,"Colac-Lavers Hill Road, Shire of Colac Otway VIC 3249, Australia"
Coleraine-Balmoral Road,BALMORAL,-37.370441,141.8077554,"Coleraine - Balmoral Road, Balmoral VIC 3407, Australia"
Commercial Road,MORWELL,-38.2389352,146.4029979,"Commercial Road, Morwell VIC 3840, Australia"
Commercial Street,MERBEIN,-34.1679502,142.0562777,"Commercial Street, Merbein VIC 3505, Australia"
Condon Street,KENNINGTON,-36.7796165,144.3118551,"Condon Street, Kennington VIC 3550, Australia"
Cook Street,PORT MELBOURNE,-37.8319125,144.9135944,"Cook Street, Port Melbourne VIC 3207, Australia"
Cookes Road,DOREEN,-37.601324,145.1341011,"Cookes Road, Doreen VIC 3754, Australia"
Coolart Road,BITTERN,-38.3529968,145.1457048,"Coolart Road, Bittern VIC 3918, Australia"
Coombes Road,TORQUAY,-38.3118411,144.2926704,"Coombes Road, Torquay VIC 3228, Australia"
Cooper Street,SOMERTON,-37.6437693,144.9558258,"Cooper Street, Somerton VIC 3062, Australia"
Copelands Road,WARRAGUL,-38.1302961,145.9653638,"Copelands Road, Warragul VIC 3820, Australia"
Coppards Road,MOOLAP,-38.2016841,144.3973515,"Coppards Road, Moolap VIC 3224, Australia"
Coppards Road,NEWCOMB,-38.1652273,144.4040955,"Coppards Road, Newcomb VIC 3219, Australia"
Copperfield Drive,DELAHEY,-37.7101659,144.7709419,"Copperfield Drive, Delahey VIC 3037, Australia"
Cornwall Road,SUNSHINE,-37.7805358,144.8422462,"Cornwall Road, Sunshine VIC 3020, Australia"
Coronation Avenue,SWAN HILL,-35.3536456,143.5529836,"Coronation Avenue, Swan Hill VIC 3585, Australia"
Corrigan Road,KEYSBOROUGH,-37.9852888,145.1644457,"Corrigan Road, Keysborough VIC 3173, Australia"
Corrigan Road,NOBLE PARK,-37.9632925,145.1687975,"Corrigan Road, Noble Park VIC 3174, Australia"
Coulstock Street,WARRNAMBOOL,-38.379811,142.4910262,"Coulstock Street, Warrnambool VIC 3280, Australia"
Cowra Avenue,IRYMPLE,-34.2318528,142.1456474,"Cowra Avenue, Irymple VIC 3498, Australia"
Cowra Avenue,MILDURA,-34.1878255,142.1989523,"Cowra Avenue, Mildura VIC 3500, Australia"
Cox Road,NORLANE,-38.0832909,144.3512753,"Cox Road, Norlane VIC 3214, Australia"
Craig Road,CRANBOURNE SOUTH,-38.1536953,145.2911873,"Craig Road, Cranbourne South VIC 3977, Australia"
Craig Road,DEVON MEADOWS,-38.1768718,145.2866874,"Craig Road, Devon Meadows VIC 3977, Australia"
Craigie Road,MOUNT MARTHA,-38.2643194,145.0699216,"Craigie Road, Mount Martha VIC 3934, Australia"
Craigieburn Road,WOLLERT,-37.605789,145.005593,"Craigieburn Road, Wollert VIC 3750, Australia"
Craigieburn Road,WOLLERT,-37.605789,145.005593,"Craigieburn Road, Wollert VIC 3750, Australia"
Craigieburn Road,CRAIGIEBURN,-37.5937955,144.9092355,"Craigieburn Road, Craigieburn VIC 3064, Australia"
Cramer Street,WARRNAMBOOL,-38.3804935,142.489052,"Cramer street, Warrnambool VIC 3280, Australia"
Cranbourne-Frankston Road,LANGWARRIN,-38.1530913,145.1888645,"Cranbourne-Frankston Road, Langwarrin VIC 3910, Australia"
CRANE Street,JACKASS FLAT,-36.7249507,144.2883547,"Crane Street, Jackass Flat VIC 3556, Australia"
Cravens Road,MERNDA,-37.6123071,145.0798311,"Cravens Road, Mernda VIC 3754, Australia"
Creswick Road,BALLARAT CENTRAL,-37.5465943,143.8507399,"Creswick Road, Ballarat Central VIC 3355, Australia"
Creswick Road,BALLARAT,-37.5426954,143.8501175,"Creswick Road, Ballarat VIC 3355, Australia"
Creswick-Newstead Road,CAMPBELLTOWN,-37.197886,143.9491297,"Creswick-Newstead Road, Campbelltown VIC 3364, Australia"
Creswick-Newstead Road,NEWSTEAD,-37.13394,144.0427204,"Creswick-Newstead Road, Newstead VIC 3462, Australia"
Crook Street,KENNINGTON,-36.7665559,144.3137655,"Crook Street, Kennington VIC 3550, Australia"
Crusoe Road,KANGAROO FLAT,-36.8160122,144.2293281,"Crusoe Road, Bendigo VIC 3555, Australia"
Cureton Avenue,MILDURA,-34.161936,142.1614151,"Cureton Avenue, Mildura VIC 3500, Australia"
Curlewis Road,CURLEWIS,-38.18095,144.5129845,"Curlewis Road, Curlewis VIC 3222, Australia"
Curlewis Street,SWAN HILL,-35.3305763,143.5563993,"Curlewis Street, Swan Hill VIC 3585, Australia"
Curtin Street,FLORA HILL,-36.7777362,144.2945322,"Curtin Street, Flora Hill VIC 3550, Australia"
Cuthberts Road,LUCAS,-37.5510437,143.776909,"Cuthberts Road, Lucas VIC 3350, Australia"
Dalmore Road,KOO WEE RUP,-38.1990553,145.492854,"Koo Wee Rup (Melbourne) VIC 3981, Australia"
Dalrymple Road,SUNBURY,-37.546481,144.6901415,"Dalrymple Road, Melbourne VIC 3429, Australia"
Dalton Road,EPPING,-37.6429134,145.0307003,"Dalton Road, Epping VIC 3076, Australia"
Dalton Road,LALOR,-37.6742876,145.0308341,"Dalton Road, Lalor VIC 3075, Australia"
Dandenong Bypass,DANDENONG SOUTH,-38.0022949,145.2008386,"Dandenong Bypass, Dandenong South VIC 3175, Australia"
Dandenong Road,CAULFIELD NORTH,-37.866082,145.02677,"Dandenong Road, Caulfield North VIC 3161, Australia"
Dandenong Road,MALVERN,-37.8692629,145.0337295,"Dandenong Road, Malvern VIC 3144, Australia"
Dandenong Road,PRAHRAN,-37.860005,145.00993,"Dandenong Road, Prahran VIC 3183, Australia"
Dandenong Road,WINDSOR,-37.8579282,144.993633,"Dandenong Road, Windsor VIC 3181, Australia"
Dandenong Road East,FRANKSTON,-38.1412438,145.1271391,"Dandenong Road East, Frankston VIC 3199, Australia"
Dandenong-Hastings Road,CRANBOURNE,-38.1087442,145.2834004,"Cranbourne, Melbourne, VIC, Australia"
Dandenong-Hastings Road,TYABB,-38.2637008,145.1871641,"Tyabb, Melbourne, VIC, Australia"
Danks Street,MIDDLE PARK,-37.8533686,144.9632273,"Danks Street, Middle Park VIC 3206, Australia"
Darebin Road,THORNBURY,-37.7665986,145.030939,"Darebin Road, Thornbury VIC 3071, Australia"
Dargo road,LINDENOW,-37.789426,147.3851169,"Bairnsdale-Dargo Road, Lindenow VIC 3875, Australia"
Darian Road,TORQUAY,-38.3224674,144.3202079,"Darian Road, Torquay VIC 3228, Australia"
Darling Road,MALVERN EAST,-37.883253,145.0581819,"Darling Road, Malvern East VIC 3145, Australia"
Darlington Road,STAWELL,-37.0447986,142.7812132,"Darlington Road, Stawell VIC 3380, Australia"
Dartmoor-Hamilton Road,YULECART,-37.7833357,141.8618948,"Dartmoor - Hamilton Road, Shire of Southern Grampians VIC 3301, Australia"
Dartmoor-Hamilton Road,HAMILTON,-37.7439339,142.013666,"Dartmoor - Hamilton Road, Hamilton VIC 3300, Australia"
Davisson Street,EPPING,-37.6499959,145.029851,"Davisson Street, Epping VIC 3076, Australia"
Daylesford-Malmsbury Road,DENVER,-37.2689813,144.3030946,"Daylesford - Malmsbury Road, Shire of Hepburn VIC 3461, Australia"
Dead Horse Lane,MANSFIELD,-37.0454049,146.1055201,"Dead Horse Lane, Mansfield VIC 3722, Australia"
Deakin Avenue,MILDURA,-34.2057931,142.1380927,"Deakin Avenue, Mildura VIC 3500, Australia"
Deep Creek Road,MITCHAM,-37.81653,145.2074788,"Deep Creek Road, Mitcham VIC 3132, Australia"
Delatite Road,SEYMOUR,-37.0095922,145.1589412,"Delatite Road, Seymour VIC 3660, Australia"
Delta Road,GREENSBOROUGH,-37.7145842,145.0933351,"Delta Road, Greensborough VIC 3088, Australia"
Dendy Street,BRIGHTON,-37.9195046,144.9928368,"Dendy Street, Brighton VIC 3186, Australia"
Dendy Street,BRIGHTON EAST,-37.9229787,145.0242071,"Dendy Street, Brighton East VIC 3187, Australia"
Derrimut Road,HOPPERS CROSSING,-37.8793327,144.6826391,"Derrimut Road, Hoppers Crossing VIC 3029, Australia"
Devon Road,PASCOE VALE,-37.7250777,144.9379604,"Pascoe Vale, Melbourne, VIC, Australia"
Devonshire Road,SUNSHINE,-37.7852261,144.8352757,"Devonshire Road, Sunshine VIC 3020, Australia"
Diggers Rest Coimadai Road,TOOLERN VALE,-37.6243604,144.6590429,"Diggers Rest - Coimadai Road, Melbourne VIC 3337, Australia"
Diggers Rest-Coimadai Road,COIMADAI,-37.614828,144.5252024,"Diggers Rest-Coimadai Road, Coimadai VIC 3340, Australia"
Diggers Rest-Coimadai Road,DIGGERS REST,-37.6290437,144.7090798,"Diggers Rest - Coimadai Road, Diggers Rest VIC 3427, Australia"
Diggers Rest-Coimadai Road,TOOLERN VALE,-37.6243604,144.6590429,"Diggers Rest - Coimadai Road, Melbourne VIC 3337, Australia"
Dinah Parade,KEILOR EAST,-37.7443391,144.8677639,"Dinah Parade, Keilor East VIC 3033, Australia"
Dingley Bypass,DINGLEY VILLAGE,-37.9627119,145.1299848,"Dingley Bypass, Dingley Village VIC 3172, Australia"
Dingley Bypass,CLARINDA,-37.955762,145.104055,"Dingley Bypass Trail, Clarinda VIC 3169, Australia"
Dingley Bypass,HEATHERTON,-37.9413615,145.09249,"Dingley Bypass, Heatherton VIC 3202, Australia"
Dohertys Road,ALTONA NORTH,-37.8316654,144.8279061,"Dohertys Road, Altona North VIC 3025, Australia"
Dohertys Road,TRUGANINA,-37.8245866,144.7438265,"Dohertys Road, Truganina VIC 3029, Australia"
Don Road,BADGER CREEK,-37.6960225,145.5600503,"Don Road, Melbourne VIC 3777, Australia"
Donald Cameron Drive,ROXBURGH PARK,-37.6224885,144.9325681,"Donald Cameron Drive, Roxburgh Park VIC 3064, Australia"
Donald-Swan Hill Road,KALPIENUNG,-35.8839966,143.2893535,"Donald - Swan Hill Road, Shire of Buloke VIC 3529, Australia"
Donald-Swan Hill Road,LALBERT,-35.6694794,143.3753445,"Donald - Swan Hill Road, Lalbert VIC 3542, Australia"
Donald-Swan Hill Road,SWAN HILL,-35.4504387,143.492594,"Donald - Swan Hill Road, Swan Hill VIC 3585, Australia"
Donnybrook Road,MICKLEHAM,-37.5395637,144.9399385,"Donnybrook Road, Mickleham VIC 3064, Australia"
Donnybrook Road,YAN YEAN,-37.5549976,145.0844037,"Donnybrook Road, Yan Yean VIC 3975, Australia"
Donovans Way,MANSFIELD,-37.0407658,146.1082366,"Donovans Way, Mansfield VIC 3722, Australia"
Dooen Road,HORSHAM,-36.6972517,142.2230727,"Dooen Road, Horsham VIC 3400, Australia"
Dorset Road,CROYDON,-37.8062284,145.2884964,"Dorset Road, Croydon VIC 3136, Australia"
Doveton Street North,INVERMAY PARK,-37.5327086,143.8604722,"Doveton Street North, Invermay Park VIC 3350, Australia"
Doveton Street North,BALLARAT NORTH,-37.5366576,143.8597089,"Doveton Street North, Ballarat North VIC 3350, Australia"
Downes Road,CASTLEMAINE,-37.0516675,144.2175482,"Downes Road, Castlemaine VIC 3450, Australia"
Driscolls Road,KEALBA,-37.7304685,144.8219934,"Driscolls Road, Kealba VIC 3021, Australia"
Dromana Parade,SAFETY BEACH,-38.3079592,144.9965051,"Dromana Parade, Safety Beach VIC 3936, Australia"
Drummond Street South,BALLARAT,-37.5734796,143.845081,"Drummond Street South, Redan VIC 3350, Australia"
Drysdale-Ocean Grove Road,WALLINGTON,-38.2243412,144.5047089,"Wallington VIC 3222, Australia"
Duff Street,CRANBOURNE WEST,-38.1011296,145.246661,"Duff Street, Cranbourne West VIC 3977, Australia"
Duke Street,SUNSHINE,-37.7935556,144.8447494,"Duke Street, Sunshine VIC 3020, Australia"
Dunblane Road,NOBLE PARK,-37.9572428,145.1814968,"Dunblane Road, Noble Park VIC 3174, Australia"
Duncan Drive,PAKENHAM,-38.0751838,145.4739987,"Duncan Drive, Pakenham VIC 3810, Australia"
Duncans Road,WERRIBEE,-37.9009605,144.662062,"Duncans Road, Werribee VIC 3030, Australia"
Dundas Road,MARYBOROUGH,-37.0370354,143.7360301,"Dundas Road, Maryborough VIC 3465, Australia"
Dundas Street,PRESTON,-37.7555155,145.0292189,"Dundas Street, Preston VIC 3072, Australia"
Dundas Street,RYE,-38.3853529,144.8157628,"Dundas Street, Rye VIC 3941, Australia"
Dunkeld-Cavendish Road,MOUTAJUP,-37.635508,142.2685347,"Dunkeld - Cavendish Road, Shire of Southern Grampians VIC 3294, Australia"
Dunne Street,KINGSBURY,-37.7167932,145.0428145,"Dunne Street, Kingsbury VIC 3083, Australia"
Dunns Creek Road,DROMANA,-38.3322047,145.0090266,"Dunns Creek Road, Dromana VIC 3936, Australia"
Dunns Road,MOUNT MARTHA,-38.2591568,145.0410095,"Dunns Road, Mount Martha VIC 3934, Australia"
Dwyer Street,KALKALLO,-37.5191953,144.9593443,"Dwyer Street, Kalkallo VIC 3064, Australia"
Dynon Road,WEST MELBOURNE,-37.8060572,144.9395376,"Dynon Road, West Melbourne VIC 3003, Australia"
Earl Street,KEW,-37.7956665,145.0370771,"Earl Street, Kew VIC 3101, Australia"
East Boundary Road,BENTLEIGH EAST,-37.9066989,145.0618592,"East Boundary Road, Bentleigh East VIC 3165, Australia"
East Esplanade,ST ALBANS,-37.7412835,144.7984833,"East Esplanade, St Albans VIC 3021, Australia"
East Street,HADFIELD,-37.7098075,144.9503945,"East Street, Hadfield VIC 3046, Australia"
Eastbourne Road,ROSEBUD,-38.3678868,144.9074159,"Eastbourne Road, Rosebud VIC 3939, Australia"
Eastfield Road,CROYDON,-37.8098803,145.2642936,"Eastfield Road, Croydon VIC 3136, Australia"
Eaststone Avenue,WOLLERT,-37.6182845,145.0033159,"Eaststone Avenue, Wollert VIC 3750, Australia"
Echuca-Kyabram Road,ECHUCA,-36.1281405,144.7516955,"Echuca VIC 3564, Australia"
Echuca-Mooroopna Road,MOOROOPNA NORTH,-36.297767,145.313136,"Mooroopna North, VIC, Australia"
Echuca-Mooroopna Road,UNDERA,-36.300701,145.260591,"Echuca Road, Undera VIC 3629, Australia"
Echuca-Mooroopna Road,ST GERMAINS,-36.2464528,145.1684768,"Echuca Road, City of Greater Shepparton VIC 3620, Australia"
Edenvale Boulevard,WOLLERT,-37.6212811,145.011756,"Edenvale Boulevard, Wollert VIC 3750, Australia"
Edgar Street,PORTLAND,-38.3630599,141.6185055,"Edgar Street, Portland VIC 3305, Australia"
Edgars Road,LALOR,-37.6613134,145.0063233,"Edgars Road, Lalor VIC 3075, Australia"
Edgars Road,EPPING,-37.6496591,145.0056956,"Edgars Road, Epping VIC 3076, Australia"
Edgars Road,WOLLERT,-37.6061499,145.0059125,"Edgars Road, Wollert VIC 3750, Australia"
Edithvale Road,CHELSEA HEIGHTS,-38.0281789,145.1309677,"Edithvale Road, Chelsea Heights VIC 3196, Australia"
Edward Road,CHIRNSIDE PARK,-37.7508105,145.3174563,"Edward Road, Chirnside Park VIC 3116, Australia"
Edwardes Street,RESERVOIR,-37.7137608,144.9820271,"Edwardes Street, Reservoir VIC 3073, Australia"
Edwards Road,JACKASS FLAT,-36.7196347,144.280225,"Edwards Road, Jackass Flat VIC 3556, Australia"
Eighth Street,MILDURA,-34.1792188,142.1557298,"Eighth Street, Mildura VIC 3500, Australia"
Eildon-Jamieson Road,EILDON,-37.3776063,146.0491666,"Eildon - Jamieson Road, Eildon VIC 3713, Australia"
Eildon-Jamieson Road,JAMIESON,-37.2954765,146.0951802,"Eildon - Jamieson Road, Jamieson VIC 3723, Australia"
Elcho Road,LARA,-38.0256147,144.3197122,"Elcho Road, Lara VIC 3212, Australia"
Elder Street,WATSONIA,-37.7139482,145.089199,"Elder Street, Watsonia VIC 3087, Australia"
Elevation Boulevard,CRAIGIEBURN,-37.5986615,144.8933367,"Elevation Boulevard, Craigieburn VIC 3064, Australia"
Eleventh Street,IRYMPLE,-34.2141387,142.1867934,"Eleventh Street, Irymple VIC 3498, Australia"
Eleventh Street,MILDURA,-34.2053349,142.1762685,"Eleventh Street, Mildura VIC 3500, Australia"
Elgar Road,BOX HILL SOUTH,-37.8377118,145.1111571,"Elgar Road, Box Hill South VIC 3128, Australia"
Elgar Road,BURWOOD,-37.8433296,145.1101251,"Elgar Road, Burwood VIC 3125, Australia"
Elizabeth Drive,SUNBURY,-37.5923435,144.7074954,"Elizabeth Drive, Melbourne VIC 3429, Australia"
Elizabeth Street,COBURG,-37.7360266,144.9828354,"Elizabeth Street, Coburg VIC 3058, Australia"
Elizabeth Street,ARARAT,-37.2923788,142.9415565,"Elizabeth Street, Ararat VIC 3377, Australia"
Elizabeth Street,EDENHOPE,-37.0356163,141.2879437,"Elizabeth Street, Edenhope VIC 3318, Australia"
Ellscott Boulevard,MICKLEHAM,-37.5433905,144.8984187,"Ellscott Boulevard, Mickleham VIC 3064, Australia"
Eltham-Yarra Glen Road,KANGAROO GROUND,-37.6879632,145.2164719,"Eltham – Yarra Glen Road, Kangaroo Ground VIC 3097, Australia"
Eltham-Yarra Glen Road,CHRISTMAS HILLS,-37.6483456,145.3291163,"Eltham – Yarra Glen Road, Christmas Hills VIC 3775, Australia"
Eltham-Yarra Glen Road,WATSONS CREEK,-37.6637653,145.2685504,"Eltham – Yarra Glen Road, Christmas Hills VIC 3097, Australia"
Elvins Street,MANSFIELD,-37.0543517,146.0799195,"Elvins Street, Mansfield VIC 3722, Australia"
Elwers Road,ROSEBUD,-38.3560576,144.9184224,"Elwers Road, Rosebud VIC 3939, Australia"
Emily Street,SEYMOUR,-37.0195103,145.1289441,"Emily Street, Seymour VIC 3660, Australia"
Emu Creek Road,STRATHFIELDSAYE,-36.8131234,144.3556135,"Emu Creek, Strathfieldsaye VIC 3551, Australia"
Emu Road,MAIDSTONE,-37.7796714,144.8800923,"Emu Road, Maidstone VIC 3012, Australia"
Epping Road,WOLLERT,-37.593738,145.03369,"Epping Road, Wollert VIC 3750, Australia"
Epping Road,EPPING,-33.770792,151.092029,"Epping Road, Epping NSW 2121, Australia"
Epping Road,WOODSTOCK,-37.5495431,145.0306175,"Epping Road, Melbourne VIC 3751, Australia"
Epsom Road,ASCOT VALE,-37.7785907,144.9128416,"Epsom Road, Ascot Vale VIC 3032, Australia"
Epsom-Barnadown Road,ASCOT,-36.6915474,144.3501712,"Epsom-Barnadown Road, Huntly VIC 3551, Australia"
Ernst Wanke Road,BERWICK,-38.0138131,145.3233159,"Ernst Wanke Road, Berwick VIC 3806, Australia"
Erskine Road,MACLEOD,-37.7276841,145.0706932,"Erskine Road, Macleod VIC 3085, Australia"
Esplanade,BRIGHTON,-37.911927,144.9858375,"Esplanade, Brighton VIC 3186, Australia"
Esplanade,MOUNT MARTHA,-38.2889146,144.9895605,"Esplanade, Mount Martha VIC 3934, Australia"
Esplanade,ALTONA,-37.8747734,144.8147159,"Esplanade, Altona VIC 3018, Australia"
Essex Street,WEST FOOTSCRAY,-37.7955353,144.8815787,"Essex Street, West Footscray VIC 3012, Australia"
Ester Street,GREENSBOROUGH,-37.7051277,145.0968333,"Ester Street, Greensborough VIC 3088, Australia"
Etiwanda Avenue,MILDURA,-34.2141569,142.1473807,"Etiwanda Avenue, Mildura VIC 3500, Australia"
Eureka Street,BALLARAT EAST,-37.5670516,143.8672252,"Eureka Street, Ballarat East VIC 3350, Australia"
Euroa-Mansfield Road,EUROA,-36.764393,145.5761578,"Euroa-Mansfield Road, Euroa VIC 3666, Australia"
Euroa-Mansfield Road,GOORAM,-36.8272549,145.5663665,"Euroa-Mansfield Road, Shire of Strathbogie VIC 3666, Australia"
Euroa-Mansfield Road,MERTON,-36.9320324,145.6648857,"Euroa-Mansfield Road, Shire of Strathbogie VIC 3666, Australia"
Euroa-Shepparton Road,EUROA,-36.7152267,145.5327717,"Euroa - Shepparton Road, Euroa VIC 3666, Australia"
Euroa-Shepparton Road,MIEPOLL,-36.6424836,145.4801285,"Euroa - Shepparton Road, Shire of Strathbogie VIC 3666, Australia"
Everleigh Drive,DIAMOND CREEK,-37.663327,145.1520185,"Everleigh Drive, Diamond Creek VIC 3089, Australia"
Exford Road,EXFORD,-37.7451287,144.5540559,"Exford Road, Melbourne VIC 3338, Australia"
Exford Road,MELTON SOUTH,-37.7111987,144.573511,"Exford Road, Melton South VIC 3338, Australia"
Eynesbury Road,EYNESBURY,-37.788873,144.5428163,"Eynesbury Road, Eynesbury VIC 3338, Australia"
Eyre Street,ECHUCA,-36.1332085,144.7649089,"Eyre Street, Echuca VIC 3564, Australia"
Fairbairn Road,SUNSHINE WEST,-37.8020834,144.8186226,"Fairbairn Road, Sunshine West VIC 3020, Australia"
Fairbank Road,CLAYTON SOUTH,-37.9428255,145.136646,"Fairbank Road, Clayton South VIC 3169, Australia"
Federation Way,BOWSER,-36.309334,146.3620445785992,"Bowser, Rural City of Wangaratta, VIC, Australia"
Fellmongers Road,BREAKWATER,-38.1796101,144.3754764,"Fellmongers Road, Breakwater VIC 3219, Australia"
Felltimber Creek Road,WODONGA,-36.1367299,146.8629552,"Felltimber Creek Road, Wodonga VIC 3690, Australia"
Ferntree Gully Road,FERNTREE GULLY,-37.8871597,145.2653197,"Ferntree Gully Road, Ferntree Gully VIC 3156, Australia"
Ferntree Gully Road,CLAYTON,-37.8997329,145.1290339,"Ferntree Gully Road, Clayton VIC 3168, Australia"
Ferntree Gully Road,WHEELERS HILL,-37.905853,145.182612,"Ferntree Gully Road, Wheelers Hill VIC 3150, Australia"
Ferris Road,MELTON SOUTH,-37.7165831,144.5999618,"Ferris Road, Cobblebank VIC 3338, Australia"
Field Street,RYE,-38.3767293,144.8416227,"Field Street, Rye VIC 3941, Australia"
Fifteenth Street,MILDURA,-34.2008731,142.1293417,"Fifteenth Street, Mildura VIC 3500, Australia"
Fifteenth Street,IRYMPLE,-34.2559453,142.1952615,"Fifteenth Street, Irymple VIC 3498, Australia"
Finch Street,MALVERN EAST,-37.8711413,145.0433972,"Finch Street, Malvern East VIC 3145, Australia"
Findon Road,SOUTH MORANG,-37.6454925,145.0841802,"Findon Road, South Morang VIC 3752, Australia"
Findon Road,EPPING,-37.6381767,145.0317965,"Findon Road, Epping VIC 3076, Australia"
Finlayson Street,ROSANNA,-37.7390463,145.0682488,"Finlayson Street, Rosanna VIC 3084, Australia"
Fischer Street,TORQUAY,-38.318737,144.3273312,"Fischer Street, Torquay VIC 3228, Australia"
Fisken Street,BACCHUS MARSH,-37.6785092,144.444147,"Fisken Street, Bacchus Marsh VIC 3340, Australia"
Fitzgerald Road,DERRIMUT,-37.8093498,144.7879545,"Fitzgerald Road, Derrimut VIC 3026, Australia"
Fitzgerald Road,SUNSHINE WEST,-37.7916746,144.7901763,"Fitzgerald Road, Sunshine West VIC 3020, Australia"
Fitzroy Avenue,RED CLIFFS,-34.3012965,142.1944311,"Fitzroy Avenue, Red Cliffs VIC 3496, Australia"
Fitzsimons Lane,TEMPLESTOWE,-37.7528891,145.1350577,"Fitzsimons Lane, Templestowe VIC 3106, Australia"
Flaxen Hills Road,DOREEN,-37.6010767,145.1342364,"Flaxen Hills Road, Doreen VIC 3754, Australia"
Flaxman Street,WARRNAMBOOL,-38.3860038,142.4978604,"Flaxman Street, Warrnambool VIC 3280, Australia"
Fletcher Street,ESSENDON,-37.7558437,144.9253439,"Fletcher Street, Essendon VIC 3040, Australia"
Flora Avenue,MILDURA,-34.1687305,142.1330054,"Flora Avenue, Mildura VIC 3500, Australia"
Forest Red Gum Drive,MICKLEHAM,-37.5487075,144.8996085,"Forest Red Gum Drive, Mickleham VIC 3064, Australia"
Forrest Street,ALBION,-37.784156,144.8156926,"Forrest Street, Albion VIC 3020, Australia"
Forrest Street,ARDEER,-37.7835083,144.8094478,"Forrest Street, Ardeer VIC 3022, Australia"
Fosters Road,KEILOR PARK,-37.7179223,144.8572713,"Fosters Road, Keilor Park VIC 3042, Australia"
Fourteenth Street,MILDURA,-34.1938415,142.1417062,"Fourteenth Street, Mildura VIC 3500, Australia"
Fourteenth Street,IRYMPLE,-34.2432579,142.2008351,"Fourteenth Street, Irymple VIC 3498, Australia"
Frankston-Dandenong Road,FRANKSTON NORTH,-38.1239544,145.1408599,"Frankston-Dandenong Road, Frankston North VIC 3200, Australia"
Frankston-Dandenong Road,SEAFORD,-38.1243782,145.1400061,"Frankston-Dandenong Road, Seaford VIC 3198, Australia"
Frankston-Dandenong Road,BANGHOLME,-38.044465,145.2093648,"Frankston-Dandenong Road, Bangholme VIC 3175, Australia"
Frankston-Dandenong Road,FRANKSTON,-38.128169,145.1346441,"Frankston-Dandenong Road, Frankston VIC 3199, Australia"
Frankston-Flinders Road,BITTERN,-38.3432358,145.1700384,"Frankston-Flinders Road, Bittern VIC 3918, Australia"
Frankston-Flinders Road,FRANKSTON SOUTH,-38.1593992,145.1350155,"Frankston-Flinders Road, Frankston VIC 3199, Australia"
Frankston-Flinders Road,SOMERVILLE,-38.2314326,145.1824618,"Frankston-Flinders Road, Somerville VIC 3912, Australia"
Frankston-Flinders Road,TYABB,-38.2731435,145.1897172,"Frankston-Flinders Road, Tyabb VIC 3915, Australia"
Frawley Road,HALLAM,-38.001737,145.274618,"Frawley Road, Hallam VIC 3803, Australia"
Fryers Road,HIGHTON,-38.1852132,144.3162534,"Fryers Road, Highton VIC 3216, Australia"
Fullarton Road,KEILOR PARK,-37.72587,144.8604111,"Fullarton Road, Keilor Park VIC 3042, Australia"
Fulton Road,BLACKBURN SOUTH,-37.8425675,145.1431098,"Fulton Road, Blackburn South VIC 3130, Australia"
Furlong Road,ST ALBANS,-37.7597084,144.8069628,"Furlong Road, St Albans VIC 3021, Australia"
Furlong Road,SUNSHINE NORTH,-37.7614343,144.8219083,"Furlong Road, Sunshine North VIC 3020, Australia"
